Id_slikarja;Ime;Narodnost;Obdobje 
4104;TOMMASO DA MODENA;Italian;1351-1400
2831;MINIATURIST, Swiss;Swiss;1301-1350
2821;MINIATURIST, Frankish;Other;1251-1300
235;BARTOLOMEO, Fra;Italian;1501-1550
4592;ZOCCHI, Cosimo;Italian;1701-1750
4559;XAVERY, Pieter;Dutch;1601-1650
2161;KOCH, Joseph Anton;Austrian;1801-1850
302;BELLEGAMBE, Jean;Flemish;1501-1550
305;BELLINI, Giovanni;Italian;1451-1500
4190;UNKNOWN CABINETMAKER, Netherlandish;Netherlandish;1501-1550
1328;EVERDINGEN, Caesar van;Dutch;1651-1700
2931;MUNARI, Cristoforo;Italian;1701-1750
3781;SCHOOR, Aelbert Jansz. van der;Dutch;1601-1650
2730;MEKEREN, Jan van;Dutch;1651-1700
1698;GOENEUTTE, Norbert;French;1851-1900
3411;RAIMONDI, Marcantonio;Italian;1501-1550
245;BASSANO, Leandro;Italian;1601-1650
3766;SCHEGGIA;Italian;1401-1450
2245;LAURANA, Luciano;Italian;1451-1500
4334;VERHAEGEN, Theodoor;Flemish;1701-1750
141;ASPETTI, Tiziano;Italian;1551-1600
4533;WITHOOS, Matthias;Dutch;1651-1700
3789;SCHÖNBERGER, Lorenz Adolf;Austrian;1751-1800
2301;LEMOYNE, Jean-Baptiste I;French;1701-1750
2668;MASTER of the Pfullendorf Altar;German;1401-1450
140;ASPERTINI, Amico;Italian;1501-1550
4396;VISCHER, Peter the Elder;German;1451-1500
1998;HUMBERT DE SUPERVILLE, David Pierre Giottino;Dutch;1801-1850
920;COELLO, Claudio;Spanish;1651-1700
1418;FLAXMAN, John;English;1751-1800
1288;EARLOM, Richard;English;1751-1800
4054;THAULOW, Fritz;Norwegian;1851-1900
111;ANTONIAZZO ROMANO;Italian;1451-1500
3318;PONTORMO, Jacopo;Italian;1501-1550
2740;MEMLING, Hans;Flemish;1451-1500
1017;COUSTENS, Pieter;Flemish;1451-1500
2355;LIMOSIN, Jean;French;1551-1600
131;ARGUNOV, Ivan Petrovich;Russian;1751-1800
4524;WILLIAMS, Walter;English;1851-1900
987;CORTE, Juan de la;Spanish;1601-1650
1352;FANCELLI, Luca;Italian;1451-1500
4127;TRABALLESI, Francesco;Italian;1551-1600
3520;RIZI, Francisco;Spanish;1651-1700
1934;HIRSCHVOGEL, Augustin;German;1501-1550
4421;VOGEL VON VOGELSTEIN, Carl Christian;German;1801-1850
1230;DREVET, Pierre;French;1701-1750
460;BOMBELLI, Sebastiano;Italian;1651-1700
2094;JOUVENET, Jean-Baptiste;French;1651-1700
775;CASTAGNOLI, Giuseppe;Italian;1751-1800
1005;COTMAN, John Sell;English;1801-1850
542;BOUT, Pieter;Flemish;1651-1700
2359;LINDTMAYER, Daniel;Swiss;1551-1600
4514;WILKIE, Sir David;Scottish;1801-1850
3533;ROBIE, Jean-Baptiste;Belgian;1851-1900
3257;PIETTE, Ludovic;French;1851-1900
4037;TEMANZA, Tommaso;Italian;1751-1800
2456;MACHUCA, Pedro;Spanish;1501-1550
1646;GIORGIONE;Italian;1451-1500
2184;KR?YER, Peter Severin;Danish;1851-1900
1264;DUPRÉ, Giovanni;Italian;1801-1850
1565;GARZONI, Giovanna;Italian;1601-1650
894;CLÉRISSEAU, Charles Louis;French;1751-1800
3758;SCHARDT, Johann Gregor van der;Netherlandish;1551-1600
2034;JACOBSZ., Dirck;Flemish;1501-1550
403;BISCAINO, Bartolomeo;Italian;1601-1650
2563;MARTINO DI BARTOLOMMEO;Italian;1401-1450
3102;PAJOU, Augustin;French;1751-1800
4198;UNKNOWN GOLDSMITH, Catalan;Catalan;1351-1400
1584;GELATI, Lorenzo;Italian;1851-1900
776;CASTEELS, Pieter;Flemish;1701-1750
3319;PONZIO, Flaminio;Italian;1551-1600
3814;SEGHERS, Gerard;Flemish;1601-1650
4511;WIJNTRACK, Dirck;Dutch;1651-1700
1753;GRAVELOT, Hubert-François;French;1701-1750
1329;EVERSDIJCK, Willem;Dutch;1651-1700
172;BACKHUYSEN, Ludolf;Dutch;1651-1700
1661;GIOVANNI DA UDINE;Italian;1501-1550
4400;VISSCHER, Anna Roemers;Dutch;1601-1650
66;AMEDEI, Giuliano;Italian;1451-1500
477;BONNASSIEUX, Jean-Marie Bienaimé;French;1851-1900
2619;MASTER of Monte Oliveto;Italian;1301-1350
543;BOUTON, Charles-Marie;French;1801-1850
4065;THOMAS, Gabriel-Jules;French;1851-1900
4567;ZAGANELLI, Francesco di Bosio;Italian;1451-1500
1775;GRIMALDI, Giacomo;Italian;1551-1600
1237;DUBOIS, Jacques;French;1701-1750
4417;VLIET, Hendrick Cornelisz. van;Dutch;1651-1700
3705;SANCHEZ, Pedro;Spanish;1451-1500
2492;MALOMBRA, Pietro;Italian;1551-1600
4402;VISSCHER, Claes Jansz. the Younger;Dutch;1601-1650
784;CASTILLO, Antonio del;Spanish;1601-1650
2216;LAMBERTI, Piero di Niccol?;Italian;1401-1450
2452;MACCARI, Cesare;Italian;1851-1900
411;BLANCHARD, Jacques;French;1601-1650
1713;GORE, Spencer Frederick;English;1851-1900
1926;HEYSACKER, Tilman;German;1451-1500
1335;FABBRINI, Giuseppe Antonio;French;1751-1800
846;CHASTILLON, Claude;French;1551-1600
1303;ELSEVIER, Louys Aernoutsz;Dutch;1651-1700
1306;ENDER, Johann;Austrian;1801-1850
4320;VERBOECKHOVEN, Louis-Charles;Belgian;1801-1850
818;CENNI di Francesco di Ser Cenni;Italian;1351-1400
837;CHARDIN, Jean-Baptiste-Siméon;French;1701-1750
821;CERNOTTO, Stefano;Italian;1501-1550
2652;MASTER of the Isaac Stories;Italian;1251-1300
4347;VERMEYEN, Jan Cornelisz.;Dutch;1501-1550
2105;KARCHER, Nicolas;Flemish;1501-1550
3946;STEINFELD, Franz;Austrian;1801-1850
551;BOZE, Joseph;French;1751-1800
3464;RENOIR, Pierre-Auguste;French;1851-1900
1379;FERNANDI, Francesco;Italian;1701-1750
4193;UNKNOWN GLASS MASTER, Italian;Italian;1451-1500
2709;MAZZA, Tommaso del;Italian;1351-1400
2494;MALTESE, Francesco;Italian;1601-1650
1949;HOGENBERG, Frans;Flemish;1551-1600
2165;KOETS, Roelof;Dutch;1601-1650
2649;MASTER of the Holy Kinship;German;1501-1550
2286;LEIBL, Wilhelm;German;1851-1900
1406;FINÉ, Oronce;French;1501-1550
1754;GREBBER, Frans Pietersz. de;Netherlandish;1601-1650
3235;PICOT, François-Edouard;French;1801-1850
1279;DUVIVIER, Jan Bernard;Flemish;1751-1800
1666;GIOVANNI D'AMBROGIO;Italian;1351-1400
4044;TENIERS, David the Younger;Flemish;1651-1700
3389;QUELLINUS, Artus II;Flemish;1651-1700
2992;NICCOL? PISANO;Italian;1501-1550
4363;VESTIER, Antoine;French;1751-1800
3217;PETTENKOFEN, August von;Austrian;1851-1900
4124;TOURNI?RES, Robert;French;1701-1750
2458;MACLISE, Daniel;Irish;1801-1850
2000;HUNT, William Holman;English;1801-1850
2620;MASTER of Moulins;French;1451-1500
4549;WOUWERMAN, Pieter;Dutch;1651-1700
3513;RING, Ludger tom, the Younger;German;1551-1600
1641;GIMIGNANI, Giacinto;Italian;1601-1650
2599;MASTER of Alkmaar;Flemish;1501-1550
596;BRODSZKY, Sándor;Hungarian;1851-1900
725;CARACCIOLO, Giovanni Battista;Italian;1601-1650
1761;GREGORIUS, Albert;Belgian;1801-1850
2208;LAGRENÉE, Louis-Jean-François;French;1751-1800
3603;ROSSELLI, Domenico;Italian;1451-1500
4205;UNKNOWN GOLDSMITH, Hungarian;Hungarian;1251-1300
1554;GARBIERI, Lorenzo;Italian;1601-1650
3485;RICCIO, Il;Italian;1501-1550
4406;VITALE DA BOLOGNA;Italian;1301-1350
1905;HENRIQUES, Francisco;Portuguese;1501-1550
303;BELLEVOIS, Jacob Adriaensz.;Dutch;1651-1700
1376;FERNÁNDEZ, Gregorio;Spanish;1601-1650
4461;WALKER, George;English;1751-1800
1157;DERMOYEN, Willem;Flemish;1501-1550
3926;SPINELLO ARETINO;Italian;1351-1400
1386;FERRARI, Lorenzo de';Italian;1701-1750
3369;PUCCINELLI, Angelo;Italian;1351-1400
13;ADAM, Nicolas-Sébastien;French;1701-1750
1846;HALS, Dirck;Dutch;1601-1650
1863;HARDING, James Duffield;English;1801-1850
2043;JACOPO DA VALENZA;Italian;1451-1500
2717;MAZZUOLI, Giuseppe;Italian;1651-1700
589;BRIDELL, Frederick Lee;English;1851-1900
4568;ZAIS, Giuseppe;Italian;1701-1750
29;AIVAZOVSKY, Ivan Konstantinovich;Russian;1851-1900
1915;HERRING, John Frederick the Younger;English;1851-1900
1793;GRÜNEWALD, Matthias;German;1501-1550
3945;STEFANO DI SANT'AGNESE;Italian;1351-1400
3094;PACHER, Michael;Austrian;1451-1500
610;BRUEGEL, Pieter the Elder;Netherlandish;1501-1550
3569;ROMANESQUE PAINTER, French;French;1051-1100
3519;RIVI?RE, Théodore;French;1851-1900
522;BOUCHARDON, Edme;French;1701-1750
4446;VREE, Nicolaes de;Dutch;1651-1700
3925;SPINELLI, Parri;Italian;1401-1450
1540;GALLEGO, Fernando;Spanish;1451-1500
3769;SCHIAVONE, Andrea;Italian;1501-1550
3543;ROELAS, Juan de las;Spanish;1601-1650
3820;SEMITECOLO, Nicoletto;Italian;1351-1400
417;BLES, Herri met de;Flemish;1501-1550
3105;PALAMEDESZ., Palamedes;Dutch;1601-1650
2565;MARTOS, Ivan Petrovich;Other;1751-1800
1603;GERRITSZ., Joost;Dutch;1601-1650
922;COESERMANS, Johannes;Dutch;1651-1700
317;BENAGLIO, Francesco;Italian;1451-1500
1191;DIZIANI, Gaspare;Italian;1701-1750
3954;STIELER, Karl Joseph;German;1801-1850
3595;R?RBYE, Martinus;Danish;1801-1850
132;ARNOLFO DI CAMBIO;Italian;1251-1300
2570;MASIP, Vicente;Spanish;1501-1550
3659;RYCKERE, Bernaert de;Flemish;1551-1600
1345;FALCIATORE, Filippo;Italian;1701-1750
531;BOUGUEREAU, William-Adolphe;French;1851-1900
4230;UNKNOWN MASTER, Russian;Russian;1501-1550
130;ARFE, Juan de;Spanish;1501-1550
3749;SCERPSWERT, Elyas;Netherlandish;1351-1400
1542;GALLI, Pietro;Italian;1801-1850
198;BAMBAIA;Italian;1501-1550
2244;LAURANA, Francesco;Italian;1451-1500
3500;RIGAUD, Hyacinthe;French;1701-1750
3672;SAENREDAM, Pieter Jansz;Dutch;1601-1650
980;CORNIOLE, Giovanni delle;Italian;1501-1550
726;CARADOSSO;Italian;1451-1500
3748;SCARSELLINO;Italian;1551-1600
1533;GALEOTTI, Pietro Paolo;Italian;1551-1600
3237;PIENEMAN, Jan Willem;Dutch;1801-1850
2081;JONGHELINCK, Jacques;Flemish;1551-1600
150;ATTIRET, Claude-François;French;1751-1800
300;BELLE, Clément-Louis-Marie-Anne;French;1751-1800
10;ACHENBACH, Oswald;German;1851-1900
4581;ZEINER, Lukas;Swiss;1451-1500
1630;GIJSBRECHTS, Franciscus;Flemish;1651-1700
3194;PERINO DEL VAGA;Italian;1501-1550
1585;GELDER, Aert de;Dutch;1651-1700
1272;DURAND, Asher Brown;American;1801-1850
3575;ROMANESQUE SCULPTOR, English;English;1051-1100
3296;POELENBORCH, Simon de;Dutch;1601-1650
3646;RUSS, Robert;Austrian;1851-1900
4048;TERRENI, Giuseppe Maria;Italian;1751-1800
439;BOECKHORST, Jan van;Flemish;1601-1650
1929;HIGHMORE, Joseph;English;1701-1750
4043;TENIERS, David the Elder;Flemish;1601-1650
485;BORCHT, Hendrik van der, the Elder;Flemish;1601-1650
1315;ERRI, Agnolo degli;Italian;1451-1500
4341;VERMEER VAN HAARLEM, Jan the Elder;Dutch;1651-1700
3494;RIED, Benedikt;German;1451-1500
2635;MASTER of the Blue Crucifixes;Italian;1201-1250
3305;POLIDORO DA LANCIANO;Italian;1501-1550
222;BARRE, Jean-Jacques;French;1801-1850
2197;LA TOUR, Georges de;French;1601-1650
2529;MARILHAT, Prosper;French;1801-1850
3207;PETAU, Paul;French;1601-1650
1238;DUBOIS, Paul;French;1851-1900
3065;ORSI, Lelio;Italian;1551-1600
2886;MORA, Bernardo de;Spanish;1651-1700
3212;PETITJEAN, Hippolyte;French;1851-1900
4479;WEENIX, Jan;Dutch;1651-1700
1045;CRESPI, Daniele;Italian;1601-1650
4212;UNKNOWN ICON PAINTER, Bulgarian;Other;1651-1700
2314;LEONI, Pompeo;Italian;1551-1600
4009;SWOL, Ambrosius van;Dutch;1651-1700
154;AUGUSTIN, Jean-Baptiste-Jacques;French;1751-1800
1370;FERENCZY, István;Hungarian;1801-1850
3988;STUBBS, George;English;1751-1800
1546;GALLOCHE, Louis;French;1701-1750
3690;SALUCCI, Alessandro;Italian;1601-1650
1599;GERHARD, Hubert;German;1551-1600
3703;SANCHEZ COELLO, Alonso;Spanish;1551-1600
4344;VERMEER, Johannes;Dutch;1651-1700
207;BARBARO, Daniele;Italian;1551-1600
1442;FOPPA, Vincenzo;Italian;1451-1500
4548;WOUWERMAN, Philips;Dutch;1651-1700
2222;LANDINI, Taddeo;Italian;1551-1600
4112;TORNYAI, János;Hungarian;1851-1900
3691;SALVADOR CARMONA, Luis;Spanish;1701-1750
3180;PÉNICAUD, Nardon;French;1501-1550
3504;RIJCKHALS, Frans;Dutch;1601-1650
4180;UNKNOWN ARCHITECT, German;German;1151-1200
1832;HACKERT, Jacob Philipp;German;1751-1800
3151;PASTI, Matteo de';Italian;1451-1500
2324;L'ESTIN, Jacques de;French;1601-1650
2547;MAROT, Daniel I;French;1701-1750
813;CECCO DEL CARAVAGGIO;French;1601-1650
3474;REYMOND, Pierre;French;1551-1600
975;CORNEILLE, Michel I;French;1601-1650
875;CIPPER, Giacomo Francesco;Austrian;1701-1750
1780;GRISÉE, Louis-Joseph;French;1851-1900
4253;URBINO, Carlo;Italian;1551-1600
2696;MAUFRA, Maxime;French;1851-1900
2560;MARTÍNEZ, Jusepe;Spanish;1601-1650
1228;DRAKE, Johann Friedrich;German;1801-1850
161;AVERCAMP, Hendrick;Dutch;1601-1650
3016;NORDSTRÖM, Karl Fredrik;Swedish;1851-1900
3063;ORLOVSKY, Boris Ivanovich;Russian;1801-1850
2526;MARIANI, Camillo;Italian;1551-1600
2869;MONNOT, Pierre Etienne;French;1651-1700
1171;DEVIS, Arthur William;English;1751-1800
996;COSTA, Lorenzo the Younger;Italian;1551-1600
2253;LAWSON, Ernst;Other;1851-1900
1087;DALENS, Dirck III;Dutch;1701-1750
504;BOSIO, Antonio;Italian;1601-1650
3276;PISANELLO;Italian;1401-1450
759;CARRE?O DE MIRANDA, Juan;Spanish;1651-1700
2598;MASTER of AC Monogram;French;1551-1600
2343;LIBERI, Pietro;Italian;1601-1650
680;CALAME, Alexandre;Swiss;1801-1850
3021;NOVELLI, Pietro;Italian;1601-1650
1330;EWORTH, Hans;Flemish;1551-1600
4151;TRUMBULL, John;American;1801-1850
3888;SOHLBERG, Harald;Norwegian;1851-1900
1836;HAES, Carlos de;Spanish;1851-1900
3192;PÉREZ SIERRA, Francisco;Spanish;1651-1700
4547;WOUTERS, Frans;Flemish;1601-1650
121;APPIANI, Andrea;Italian;1801-1850
263;BEATRIZET, Nicolas;French;1501-1550
722;CAPPELLE, Jan van de;Dutch;1651-1700
3708;SANDTNER, Carlo;German;1601-1650
3177;PENCZ, Georg;German;1501-1550
506;BOSIO, Jean François;French;1751-1800
4365;VEYRIER, Christophe;French;1651-1700
1957;HOLLÓSY, Simon;Hungarian;1851-1900
2929;MULREADY, William;Irish;1801-1850
2069;JEGHER, Christoffel;Flemish;1601-1650
4226;UNKNOWN MASTER, Hungarian;Hungarian;1401-1450
1403;FILARETE;Italian;1401-1450
3561;ROMANELLI, Giovanni Francesco;Italian;1651-1700
1840;HAGENAUER, Friedrich;German;1501-1550
3744;SCALFAROTTO, Giovanni Antonio;Italian;1701-1750
4584;ZENALE, Bernardo;Italian;1501-1550
4089;TISCHBEIN, Johann Heinrich the Elder;German;1751-1800
2898;MOREELSE, Paulus;Dutch;1601-1650
3970;STRADANUS, Johannes;Flemish;1551-1600
508;BOSSCHAERT, Ambrosius the Elder;Dutch;1601-1650
3452;REINER DE HUY;Flemish;1101-1150
999;COSWAY, Richard;English;1751-1800
3966;STORR, Paul;English;1801-1850
2875;MONTAUTI, Antonio;Italian;1701-1750
708;CANAL, Bernardo;Italian;1701-1750
2690;MATTEIS, Paolo de;Italian;1701-1750
1268;DUPUIS, Nicolas-Gabriel;French;1701-1750
3381;PYNAS, Jacob Symonsz.;Dutch;1601-1650
1291;ECKERSBERG, Christoffer Wilhelm;Danish;1801-1850
407;BISSCHOP, Jan de;Dutch;1651-1700
1177;DIAZ DE LA PE?A, Narcisse Virgile;French;1851-1900
2365;LIONE, Andrea di;Italian;1601-1650
1029;COYPEL, Noël;French;1651-1700
1410;FIORENZO DI LORENZO;Italian;1451-1500
3508;RIMINALDI, Orazio;Italian;1601-1650
1120;DAWE, George;English;1801-1850
1287;EARL, Ralph;American;1751-1800
1373;FERGUSON, William Gowe;Scottish;1651-1700
3995;SUSINI, Francesco;Italian;1601-1650
1854;HAMILTON, Johann Georg de;Scottish;1701-1750
3075;OSTADE, Isaack van;Dutch;1601-1650
4476;WEBER, Henrik;Hungarian;1801-1850
3574;ROMANESQUE SCULPTOR, Catalan;Catalan;1001-1050
1979;HOSCHEDÉ-MONET, Blanche;French;1851-1900
3086;OVERBECK, Friedrich;German;1801-1850
469;BONECHI, Matteo;Italian;1701-1750
209;BARBIERI, Paolo Antonio;Italian;1601-1650
355;BERNARD, Joseph;French;1851-1900
3421;RASMUSSEN, Georg Anton;Norwegian;1851-1900
478;BONNAT, Léon-Joseph-Florentin;French;1851-1900
2436;LUCAS VELÁZQUEZ, Eugenio;Spanish;1851-1900
1869;HASSAM, Childe;American;1851-1900
854;CHIARI, Giuseppe Bartolomeo;Italian;1651-1700
804;CAVEDONE, Giacomo;Italian;1601-1650
3285;PLATZER, Johann Georg;Austrian;1701-1750
2307;LEONARDO DA PISTOIA;Italian;1501-1550
601;BRONCHORST, Johannes van;Dutch;1651-1700
2006;HUYSMANS, Jacob;Flemish;1651-1700
3630;ROYER, Lodewijk;Flemish;1801-1850
3984;STROZZI, Bernardo;Italian;1601-1650
2958;NATTIER, Jean-Baptiste;French;1701-1750
2267;LE TAVERNIER, Jean;French;1451-1500
2571;MASO DI BANCO;Italian;1301-1350
360;BERNINI, Gian Lorenzo;Italian;1601-1650
3059;ORDÓ?EZ, Bartolomé;Spanish;1501-1550
3043;OLIVER, Isaac;English;1551-1600
647;BURLAMACCHI, Eufrasia;Italian;1501-1550
555;BRACQUEMOND, Marie;French;1851-1900
293;BÉLIARD, Edouard;French;1851-1900
393;BIGARNY, Felipe;Spanish;1501-1550
4301;VEERENDAEL, Nicolaes van;Flemish;1651-1700
2891;MORBELLI, Angelo;Italian;1851-1900
3917;SPEECKAERT, Hans;Flemish;1551-1600
3937;STARR, Sidney;English;1851-1900
4438;VOS, Marten de;Flemish;1551-1600
468;BONE, Henry;English;1801-1850
974;CORNEILLE DE LYON;French;1551-1600
1062;CROSS, Henri-Edmond;French;1851-1900
1674;GIOVANNI DI PIETRO;Italian;1501-1550
2099;JUNI, Juan de;Spanish;1551-1600
445;BOGDÁNY, Jakab;Hungarian;1601-1650
509;BOSSCHAERT, Ambrosius the Younger;Dutch;1601-1650
84;ANDRIESSEN, Jurriaan;Dutch;1751-1800
3890;SOLA, Antonio;Spanish;1801-1850
3256;PIETRO DI GIOVANNI TEDESCO;Italian;1351-1400
1870;HASSELT, Jacob Gerritsz. van;Dutch;1601-1650
4130;TRAVERSI, Gaspare;Italian;1751-1800
794;CAULLERY, Louis de;Flemish;1601-1650
1128;DEDREUX, Alfred;French;1801-1850
4515;WILLAERTS, Abraham;Dutch;1601-1650
1415;FLAMEN, Anselme;French;1651-1700
2736;MELONE, Altobello;Italian;1501-1550
2159;KOBERGER, Anton;German;1451-1500
192;BALDUCCI, Matteo;Italian;1501-1550
1930;HILDEBRANDT, Eduard;German;1801-1850
3872;SLAVÍ?EK, Antonín;Bohemian;1851-1900
3877;SLODTZ, René-Michel;French;1701-1750
1821;GUNST, Pieter Stevens van;Dutch;1651-1700
2259;LE LORRAIN, Louis-Joseph;French;1701-1750
4463;WALSCAPELLE, Jacob van;Dutch;1651-1700
100;ANGUISSOLA, Sofonisba;Italian;1551-1600
346;BERGHE, Christoffel van den;Flemish;1601-1650
1874;HAWKINS, Louis Welden;French;1851-1900
4129;TRAINI, Francesco;Italian;1351-1400
795;CAUSICI, Enrico;Italian;1801-1850
793;CATTANEO, Danese;Italian;1501-1550
2671;MASTER of the Polling Panels;German;1401-1450
2190;KULMBACH, Hans Süss von;German;1501-1550
636;BUNDEL, Willem van den;Flemish;1601-1650
1205;DONÁT, János;Hungarian;1801-1850
889;CLAUDEL, Camille;French;1851-1900
842;CHARPENTIER, Constance;French;1801-1850
706;CAMPROBÍN, Pedro de;Spanish;1601-1650
1385;FERRARI, Gregorio de;Italian;1651-1700
2729;MEIT, Conrad;German;1501-1550
3302;POLACK, Jan;Polish;1451-1500
3806;SCROTS, Guillaume;Flemish;1501-1550
1096;DANDINI, Pietro;Italian;1651-1700
771;CASSANA, Giovanni Agostino;Italian;1651-1700
4428;VOLLERDT, Johann Christian;German;1751-1800
2618;MASTER of Mary of Burgundy;Flemish;1451-1500
1411;FISCHBACH, Johann;German;1801-1850
3891;SOLARI, Cristoforo;Italian;1451-1500
3754;SCHALCKE, Cornelis Symonsz. van der;Dutch;1601-1650
865;CIARDI, Guglielmo;Italian;1851-1900
2198;LA TOUR, Maurice Quentin de;French;1701-1750
4165;UCCELLO, Paolo;Italian;1401-1450
3821;SENGHER, Philipp;German;1701-1750
2940;MUSSCHER, Michiel van;Dutch;1651-1700
4541;WOLFF, Albert;German;1801-1850
1458;FRAGONARD, Jean-Honoré;French;1751-1800
3185;PENSIONANTE DEL SARACENI;French;1601-1650
3506;RIJSWIJCK, Dirck van;Dutch;1601-1650
3540;RODE, Bernhard;German;1751-1800
1589;GENNARI, Benedetto I;Italian;1601-1650
1070;CUYCK VAN MYEROP, Frans;Flemish;1651-1700
481;BONVICINO, Ambrogio;Italian;1551-1600
2834;MINO DA FIESOLE;Italian;1451-1500
2310;LEONARDO DI SER GIOVANNI;Italian;1351-1400
3155;PATEL, Pierre-Antoine;French;1651-1700
1444;FORAIN, Jean-Louis;French;1851-1900
2906;MORLAITER, Michelangelo;Italian;1751-1800
3998;SUSTRIS, Lambert;Dutch;1551-1600
937;COLOMBEL, Nicolas;French;1651-1700
2942;MUZIANO, Girolamo;Italian;1551-1600
3289;PLUYM, Karel van der;Dutch;1651-1700
2353;LIGOZZI, Jacopo;Italian;1551-1600
375;BETTI, Niccol?;Italian;1551-1600
166;BACCANELLI, Giovanni Antonio di Giulio;Italian;1601-1650
496;BORSATO, Giuseppe;Italian;1801-1850
3454;REINHOLD, Heinrich;German;1801-1850
1265;DUPRÉ, Jules;French;1851-1900
2841;MOCHI, Francesco;Italian;1601-1650
2178;KRAFFT, Johann Peter;Austrian;1801-1850
1567;GASPARE DA PADOVA;Italian;1451-1500
3447;REHBENITZ, Theodor Markus;German;1801-1850
2195;LA HIRE, Laurent de;French;1601-1650
878;CITTADINI, Pier Francesco;Italian;1651-1700
639;BUONSIGNORI, Stefano;Italian;1551-1600
1052;CRISTOFORO DI GEREMIA;Italian;1451-1500
4168;UGOLINO DI NERIO;Italian;1301-1350
3535;ROBUSTI, Domenico;Italian;1551-1600
662;CABEL, Adriaan van der;Dutch;1651-1700
2339;LIBALT, Gottfried;German;1601-1650
1993;HUGGINS, William John;English;1801-1850
2152;KNÜPFER, Nicolaus;Dutch;1601-1650
3238;PIER FRANCESCO FIORENTINO;Italian;1451-1500
1276;DUSART, Cornelis;Dutch;1651-1700
845;CHASSÉRIAU, Théodore;French;1801-1850
3608;ROSSETTI, Biagio;Italian;1451-1500
1008;COURT, Jean de;French;1551-1600
4188;UNKNOWN CABINETMAKER, Hungarian;Hungarian;1451-1500
998;COSTER, Jan;Netherlandish;1501-1550
2901;MORETTO da Brescia;Italian;1501-1550
3801;SCIORINA, Lorenzo dello;Italian;1551-1600
2633;MASTER of the Avignon School;French;1451-1500
3386;QUAST, Pieter Jansz.;Dutch;1601-1650
1323;ESTEVE Y MARQUES, Agustín;Spanish;1751-1800
2772;MEYTENS, Martin van, II;Austrian;1701-1750
2651;MASTER of the Housebook;German;1451-1500
2241;LASSALLE-BORDES, Gustave;French;1801-1850
1388;FERRATA, Ercole;Italian;1601-1650
2952;NARDO DI CIONE;Italian;1351-1400
257;BAYEU Y SUBIAS, Francisco;Spanish;1751-1800
1304;ELSHEIMER, Adam;German;1551-1600
2899;MORELLI, Domenico;Italian;1851-1900
2987;NICCOL? DI PIETRO;Italian;1401-1450
1347;FALCONE, Bernardo;Italian;1651-1700
1199;DOMENICO DA TOLMEZZO;Italian;1451-1500
604;BROOKING, Charles;English;1701-1750
3051;OOST, Jacob van, the Elder;Flemish;1601-1650
3482;RICCI, Marco;Italian;1701-1750
3193;PÉREZ, Bartolomé;Spanish;1651-1700
1309;ENGERT, Erasmus;Austrian;1801-1850
3186;PEPIJN, Marten;Flemish;1601-1650
978;CORNELIUS, Peter;German;1801-1850
2852;MOLENAER, Bartholomeus;Dutch;1601-1650
3935;STANZIONE, Massimo;Italian;1601-1650
2836;MIROU, Anthonie;Flemish;1601-1650
2663;MASTER of the Mascoli Altar;Italian;1401-1450
984;CORREGGIO;Italian;1501-1550
3736;SAVERY, Jacob I;Flemish;1551-1600
3491;RICHTER, Johan;Swedish;1701-1750
1879;HEADE, Martin Johnson;American;1851-1900
580;BREGNO, Antonio;Italian;1401-1450
1407;FINELLI, Giuliano;Italian;1601-1650
593;BRIZIO, Francesco;Italian;1601-1650
3384;QUAGLIO, Domenico;Italian;1801-1850
2172;KOPISCH, August;German;1801-1850
1916;HERWIJCK, Steven van;Netherlandish;1551-1600
288;BEHAM, Hans Sebald;German;1501-1550
675;CAFFIÉRI, Philippe;French;1751-1800
4544;WOOLNER, Thomas;English;1851-1900
3176;PELLIZZA DA VOLPEDO, Giuseppe;Italian;1851-1900
1333;EYCK, Hubert van;Flemish;1401-1450
4605;ZUCCHI, Lorenzo;Italian;1751-1800
4469;WATERLOO, Anthonie;Dutch;1651-1700
2004;HUYS, Pieter;Flemish;1551-1600
2467;MAFFEI, Francesco;Italian;1601-1650
2379;LIXIGNOLO, Jacopo;Italian;1451-1500
1842;HAINZ, Georg;German;1651-1700
4360;VERWER, Justus de;Dutch;1651-1700
25;AGNOLO DI VENTURA;Italian;1301-1350
2650;MASTER of the Hours of Maréchal de Boucicaut;French;1401-1450
2829;MINIATURIST, Russian;Russian;1251-1300
4427;VOLAIRE, Pierre-Jacques;French;1751-1800
2160;K?BKE, Christen;Danish;1801-1850
2723;MEDUNA, Giovanni Battista;Italian;1801-1850
1706;GONZÁLEZ VELÁZQUEZ, Antonio;Spanish;1751-1800
1782;GROET, Adriaen de;Netherlandish;1551-1600
1076;DADDI, Bernardo;Italian;1301-1350
595;BROCKY, Károly;Hungarian;1801-1850
1456;FRAGIACOMO, Pietro;Italian;1851-1900
3402;RAFFAËLLI, Jean-François;French;1851-1900
1175;DIANA, Benedetto;Italian;1501-1550
1073;CUYP, Benjamin Gerritsz.;Dutch;1601-1650
3963;STOOP, Maerten;Dutch;1601-1650
3577;ROMANESQUE SCULPTOR, German;German;1101-1150
2797;MIGNON, Abraham;German;1651-1700
4383;VILADOMAT Y MANALT, Antonio;Spanish;1701-1750
2778;MICHELE DA VERONA;Italian;1501-1550
3990;SUBLEYRAS, Pierre;French;1701-1750
